id,uuid,name,description,description_source,category_id,category_name,muscles_primary,muscles_secondary,equipment_list,image_url,image_thumbnail_url,is_front_image,wger_variations,embed_status,created_at,updated_at
76,3db63138-a047-4a4d-b616-1a0b7dfca105,Bench Press Narrow Grip,"Lay down on a bench, the bar is directly over your eyes, the knees form a slight angle and the feet are firmly on the ground. Hold the bar with a narrow grip (around 20cm.). Lead the weight slowly down till the arms are parallel to the floor (elbow: right angle), press then the bar up. When bringing the bar down, don't let it down on your nipples as with the regular bench pressing, but somewhat lower.",wger,8,Arms,"[""Triceps brachii""]","[""Pectoralis major"", ""Anterior deltoid""]","[""Barbell"", ""Bench""]",https://wger.de/media/exercise-images/88/Narrow-grip-bench-press-2.png,https://wger.de/media/exercise-images/88/Narrow-grip-bench-press-2.png,0,7.0,pending,2026-03-29 04:44:52,2026-03-29 05:39:43
79,01271ea0-088c-4e2b-95ad-876af7127057,Bent High Pulls,"Bend over slightly while holding two dumbbells. Pull the dumbbells up to your chest, keeping your elbows as high as you can.",wger,13,Shoulders,"[""Anterior deltoid""]","[""Latissimus dorsi"", ""Biceps brachii""]","[""Dumbbell""]",,,1,,pending,2026-03-29 04:44:52,2026-03-29 04:44:52
81,94a5c406-7bcd-47f3-9687-bdf92a763932,Bent Over Dumbbell Rows,"With dumbbells in hand, bend at the hip until hands hang just below the knees (similar to straight-legged-deadlift starting position). Keep upper body angle constant while contracting your lats to pull you ellbows back pinching the shoulder blades at the top. Try not to stand up with every rep, check hands go below knees on every rep.",wger,12,Back,"[""Latissimus dorsi"", ""Latissimus dorsi""]","[""Biceps brachii""]","[""Dumbbell""]",https://wger.de/media/exercise-images/81/a751a438-ae2d-4751-8d61-cef0e9292174.png,https://wger.de/media/exercise-images/81/a751a438-ae2d-4751-8d61-cef0e9292174.png,1,1.0,pending,2026-03-29 04:44:52,2026-03-29 05:39:42
82,6f79b381-98a4-40d5-8a45-3bb0558be6fe,Bent-over Lateral Raises,"Sit on bench while holding weights. Bend forward as far as possible, with arms slightly bent at the elbow. Perform a lateral raise while maintaining the bend in your elbow.",wger,13,Shoulders,"[""Anterior deltoid""]","[""Latissimus dorsi""]","[""Dumbbell"", ""Bench""]",,,1,4.0,pending,2026-03-29 04:44:52,2026-03-29 04:44:52
83,4af6dbd9-8991-484b-9810-68f117c21edf,Bent Over Rowing,"Holding a barbell with a pronated grip (palms facing down), bend your knees slightly and bring your torso forward, by bending at the waist, while keeping the back straight until it is almost parallel to the floor. Tip: Make sure that you keep the head up. The barbell should hang directly in front of you as your arms hang perpendicular to the floor and your torso. This is your starting position. Now, while keeping the torso stationary, breathe out and lift the barbell to you. Keep the elbows close to the body and only use the forearms to hold the weight. At the top contracted position, squeeze the back muscles and hold for a brief pause. Then inhale and slowly lower the barbell back to the starting position. Repeat for the recommended amount of repetitions.",wger,12,Back,"[""Latissimus dorsi"", ""Latissimus dorsi""]","[""Biceps brachii""]","[""Barbell""]",https://wger.de/media/exercise-images/109/Barbell-rear-delt-row-2.png,https://wger.de/media/exercise-images/109/Barbell-rear-delt-row-2.png,0,1.0,pending,2026-03-29 04:44:52,2026-03-29 05:39:43
84,2f0ddf9a-f520-4c55-8883-f0d4a789f481,Bent Over Rowing Reverse,"The same as regular rowing, but holding a reversed grip (your palms pointing forwards): Grab the barbell with a wide grIp (slightly more than shoulder wide) and lean forward. Your upper body is not quite parallel to the floor, but forms a slight angle. The chest's out during the whole exercise. Pull now the barbell with a fast movement towards your belly button, not further up. Go slowly down to the initial position. Don't swing with your body and keep your arms next to your body.",wger,12,Back,"[""Latissimus dorsi"", ""Latissimus dorsi""]","[""Biceps brachii""]","[""Barbell""]",https://wger.de/media/exercise-images/110/Reverse-grip-bent-over-rows-2.png,https://wger.de/media/exercise-images/110/Reverse-grip-bent-over-rows-2.png,0,1.0,pending,2026-03-29 04:49:38,2026-03-29 05:39:43
91,7b99a081-6b1a-4aa5-b86a-5a935d083a35,Biceps Curls With Barbell,"Hold the Barbell shoulder-wide, the back is straight, the shoulders slightly back, the arms are streched. Bend the arms, bringing the weight up, with a fast movement. Without pausing, let down the bar with a slow and controlled movement. Don't allow your body to swing during the exercise, all work is done by the biceps, which are the only mucles that should move (pay attention to the elbows).",wger,8,Arms,"[""Biceps brachii""]",[],"[""Barbell""]",https://wger.de/media/exercise-images/74/Bicep-curls-2.png,https://wger.de/media/exercise-images/74/Bicep-curls-2.png,0,16.0,pending,2026-03-29 04:44:52,2026-03-29 05:39:43
92,1ae6a28d-10e7-4ecf-af4f-905f8193e2c6,Biceps Curls With Dumbbell,"Hold two barbells, the arms are streched, the hands are on your side, the palms face inwards. Bend the arms and bring the weight with a fast movement up. At the same time, rotate your arms by 90 degrees at the very beginning of the movement. At the highest point, rotate a little the weights further outwards. Without a pause, bring them down, slowly. Don't allow your body to swing during the exercise, all work is done by the biceps, which are the only mucles that should move (pay attention to the elbows).",wger,8,Arms,"[""Biceps brachii""]",[],"[""Dumbbell""]",https://wger.de/media/exercise-images/81/Biceps-curl-2.png,https://wger.de/media/exercise-images/81/Biceps-curl-2.png,0,16.0,pending,2026-03-29 04:44:52,2026-03-29 05:39:43
94,42227131-9b1e-4220-b082-c523f0651057,Biceps Curls With SZ-bar,"Hold the SZ-bar shoulder-wide, the back is straight, the shoulders slightly back, the arms are streched. Bend the arms, bringing the weight up, with a fast movement. Without pausing, let down the bar with a slow and controlled movement. Don't allow your body to swing during the exercise, all work is done by the biceps, which are the only mucles that should move (pay attention to the elbows).",wger,8,Arms,"[""Biceps brachii""]",[],"[""SZ-Bar""]",https://wger.de/media/exercise-images/94/6dee2f60-aea2-4f2d-9bf6-aef50c4f9483.png,https://wger.de/media/exercise-images/94/6dee2f60-aea2-4f2d-9bf6-aef50c4f9483.png,1,16.0,pending,2026-03-29 04:44:52,2026-03-29 05:39:42
95,bcb7020c-8678-496d-8f4d-aad0e233a5bd,Biceps Curl With Cable,"Stand around 30 - 40cm away from the cable, the feet are firmly on the floor. Take the bar and lift the weight with a fast movements. Lower the weight as with the dumbbell curls slowly and controlled.",wger,8,Arms,"[""Biceps brachii""]",[],"[""Cable""]",https://wger.de/media/exercise-images/129/Standing-biceps-curl-2.png,https://wger.de/media/exercise-images/129/Standing-biceps-curl-2.png,0,16.0,pending,2026-03-29 04:44:52,2026-03-29 05:39:43
112,d551f24d-44fe-4761-9448-edf14d627827,Body-Ups,"Assume a plank position on the ground. You should be supporting your bodyweight on your toes and forearms, keeping your torso straight. Your forearms should be shoulder-width apart. This will be your starting position. Pressing your palms firmly into the ground, extend through the elbows to raise your body from the ground. Keep your torso rigid as you perform the movement. Slowly lower your forearms back to the ground by allowing the elbows to flex. Repeat as needed.",wger,8,Arms,"[""Triceps brachii""]","[""Rectus abdominis""]","[""Bodyweight""]",,,1,,pending,2026-03-29 04:44:52,2026-03-29 04:44:52
124,8c6428f3-d41d-4ffc-8444-bb9b823bc42b,Braced Squat,"Stand with feet slightly wider than shoulder-width apart, while standing as tall as you can. Grab a weight plate and hold it out in front of your body with arms straight out. Keep your core tight and stand with a natural arch in your back. Now, push hips back and bend knees down into a squat as far as you can. Hold for a few moments and bring yourself back up to the starting position.",wger,9,Legs,"[""Quadriceps femoris"", ""Gluteus maximus""]","[""Hamstrings"", ""Anterior deltoid""]","[""Other""]",,,1,12.0,pending,2026-03-29 04:44:52,2026-03-29 04:44:52
129,5c414175-fe72-455a-ba8f-a0575cf792bd,Chest Press,"Starting Position: Sit on a chest press machine with your back flat against the pad. Grasp the handles with a full grip.
Execution: Push the handles forward until your arms are fully extended but not locked. Pause briefly, then slowly return to the starting position.
Tips: Keep your feet flat on the floor and your back pressed against the pad. Focus on squeezing your chest muscles.",gpt_generated,11,Chest,"[""Pectoralis major""]","[""Triceps brachii"", ""Anterior deltoid""]","[""Machine""]",,,1,,pending,2026-03-29 04:49:35,2026-03-30 01:12:46
132,48ee1385-47c5-4821-8b6a-57fac6130776,Burpees,"Starting Position: Stand in a squat position with hands on the floor. Kick your feet back into a high plank position.
Execution: Perform a push-up. Immediately jump your feet back to the squat position and explosively jump into the air with arms extended overhead.
Tips: Perform the entire sequence in one fluid motion. Maintain a tight core to protect your lower back.",gpt_generated,11,Chest,"[""Pectoralis major"", ""Anterior deltoid"", ""Triceps brachii"", ""Quadriceps femoris""]","[""Rectus abdominis"", ""Gluteus maximus""]","[""Bodyweight""]",,,1,,pending,2026-03-29 04:49:35,2026-03-30 01:12:46
135,99449eae-0eae-44ab-a57f-fc094bbdda13,Butterfly,"Sit on the butterfly machine, the feet have a good contact with the floor, the upper arms are parallel to the floor. Press your arms together till the handles are practically together (but aren't!). Go slowly back. The weights should stay all the time in the air.",wger,11,Chest,"[""Pectoralis major""]",[],"[""Machine""]",https://wger.de/media/exercise-images/98/Butterfly-machine-1.png,https://wger.de/media/exercise-images/98/Butterfly-machine-1.png,0,41.0,pending,2026-03-29 04:49:35,2026-03-29 05:39:43
137,80ff0a3a-ae45-497d-8c27-2b12e3b6e1b8,Butterfly Narrow Grip,"The movement is the same as with a regular butterfly, only that the grip is narrow: Sit on the butterfly machine, the feet have a good contact with the floor, the upper arms are parallel to the floor. Press your arms together till the handles are practically together (but aren't!). Go slowly back. The weights should stay all the time in the air.",wger,11,Chest,"[""Pectoralis major""]",[],"[""Machine""]",,,1,41.0,pending,2026-03-29 04:49:35,2026-03-29 04:49:35
139,a6605e9c-887d-45e0-8282-617a8ec5fea2,Butterfly Reverse,"Starting Position: Sit on a bench holding dumbbells, allowing your arms to hang down at your sides with a neutral grip (palms facing each other).
Execution: Raise the dumbbells out to your sides and slightly forward in an arcing motion until they reach shoulder height. Lower the weights with control.
Tips: Keep a slight bend in your elbows. Lead with your elbows, not your hands, to better target the side delts.",gpt_generated,13,Shoulders,"[""Anterior deltoid""]","[""Latissimus dorsi""]","[""Dumbbell"", ""Bench""]",,,1,41.0,pending,2026-03-29 04:49:35,2026-03-30 01:12:46
142,dc3a2072-abc3-4ef9-b8e6-f5ae6b11bc7f,Cable External Rotation,"Steps: Start off placing an extension band around a post or in a secure position where it will not release and is at elbow level. Position yourself to the side of the band and with your hand that is opposite of the band, reach out and grab the handle. Bring the band to your chest keeping your elbow bent in a 90 degree angle then slowly rotate your arm in a backhand motion so that the band externally rotates out Continue out as far as possible so that you feel a stretch in your shoulders, hold for a count and then return back to the starting position. Repeat for as many reps and sets as desired.",wger,13,Shoulders,"[""Anterior deltoid""]",[],"[""Resistance band""]",,,1,,pending,2026-03-29 04:49:40,2026-03-29 04:49:40
145,c867836d-2929-4977-b23c-014bc21ec08d,Cable Woodchoppers,"Set cable pulley slightly lower than chest height. Keep body facing forward with hips stable. Grab the pulley handle, fully extend your arms and bring your arms forward and across your body. Hold for 1 second at the end of the movement and slowly return to starting position.",wger,10,Abs,"[""Obliques"", ""Rectus abdominis""]","[""Anterior deltoid""]","[""Cable""]",,,1,,pending,2026-03-29 04:49:35,2026-03-29 04:49:35
146,0d79f259-3b28-4258-8a08-cffec062a710,Calf Press Using Leg Press Machine,"Put the balls of your feet on an extended leg press pad. Use your calves to press the weight by flexing your feet/toes into a pointed position, and releasing back into a relaxed position. This exercise builds mass and strength in the Gastrocnemius and Soleus muscles as well, if not better, than any calf exercise.",wger,14,Calves,"[""Gastrocnemius""]",[],"[""Machine""]",https://wger.de/media/exercise-images/146/8b284904-d072-4381-a256-4c81d8fd9c1f.png,https://wger.de/media/exercise-images/146/8b284904-d072-4381-a256-4c81d8fd9c1f.png,1,6.0,pending,2026-03-29 04:44:52,2026-03-29 05:39:43
148,95a9cc46-270e-45f2-8a17-5665a23ff70b,Calf Raises on Hackenschmitt Machine,"Place yourself on the machine with your back firmly against the backrest, the feet are on the platform for calf raises. Check that the feet are half free and that you can completely stretch the calf muscles down. With straight knees pull up your weight as much as you can. Go with a fluid movement down till the calves are completely stretched. Repeat.",wger,14,Calves,"[""Gastrocnemius""]",[],"[""Machine""]",,,1,6.0,pending,2026-03-29 04:49:35,2026-03-29 04:49:35
152,87e6abc5-a701-442a-b4fb-bb2a7598a754,Chin Up,"The chin-up (also known as a chin or chinup) is a strength training exercise. People frequently do this exercise with the intention of strengthening muscles such as the latissimus dorsi and biceps, which extend the shoulder and flex the elbow, respectively. In this maneuver, the palms are faced towards the body. It is a form of pull-up in which the range of motion is established in relation to a person's chin.",wger,12,Back,"[""Latissimus dorsi"", ""Biceps brachii""]","[""Latissimus dorsi""]","[""Pull-up bar"", ""Bodyweight""]",,,1,,pending,2026-03-29 04:49:35,2026-03-29 04:49:35
154,424da49e-d155-4247-bbb2-161a5c797789,Chin-ups,"The chin-up (also known as a chin or chinup) is a strength training exercise. People frequently do this exercise with the intention of strengthening muscles such as the latissimus dorsi and biceps, which extend the shoulder and flex the elbow, respectively. In this maneuver, the palms are faced towards the body. It is a form of pull-up in which the range of motion is established in relation to a person's chin.",wger,12,Back,"[""Latissimus dorsi"", ""Biceps brachii""]","[""Latissimus dorsi""]","[""Pull-up bar"", ""Bodyweight""]",https://wger.de/media/exercise-images/181/Chin-ups-1.png,https://wger.de/media/exercise-images/181/Chin-ups-1.png,0,,pending,2026-03-29 04:49:35,2026-03-29 05:39:43
158,63fbb8e5-6ebc-4def-8844-3e65e097213b,Close-grip Lat Pull Down,"Grip the pull-down bar with your hands closer than shoulder width apart, with your palms facing away from you. Lean back slightly. Pull the bar down towards your chest, keeping your elbows close to your sides as you come down. Pull your shoulders back at the end of the motion.",wger,12,Back,"[""Latissimus dorsi""]","[""Biceps brachii"", ""Latissimus dorsi""]","[""Machine"", ""Cable""]",https://wger.de/media/exercise-images/158/02e8a7c3-dc67-434e-a4bc-77fdecf84b49.webp,https://wger.de/media/exercise-images/158/02e8a7c3-dc67-434e-a4bc-77fdecf84b49.webp,1,2.0,pending,2026-03-29 04:44:52,2026-03-29 05:39:43
161,6e00afb6-272d-44a2-8ae3-e7fa41b50f06,Cross-Bench Dumbbell Pullovers,"Grasp a moderately weighted dumbbell so your palms are flat against the underside of the top plates and your thumbs are around the bar. Lie on your back across a flat bench so only your upper back and shoulders are in contact with the bench. Your feet should be set about shoulder-width apart and your head should hang slightly downward. With the dumbbell supported at arm's length directly about your chest, bend your arms about 15 degrees and keep them bent throughout the movement. Slowly lower the dumbbell backward and downward in a semicircle arc to as low a position as is comfortably possible. Raise it slowly back along the same arc to the starting point, and repeat for the required number of repetitions.",wger,11,Chest,"[""Pectoralis major"", ""Latissimus dorsi""]","[""Triceps brachii""]","[""Dumbbell"", ""Bench""]",,,1,,pending,2026-03-29 04:49:35,2026-03-29 04:49:35
165,36391719-d4ad-4e0f-991f-8eafd5947108,Ball crunches,"Starting Position: Lie on your back on an exercise ball with the ball under your lower back. Place your hands behind your head or across your chest.
Execution: Exhale and flex your abdomen to lift your torso off the ball. Inhale as you lower back down with control.
Tips: Keep the movement slow and deliberate. Avoid pulling on your neck to lift your upper body.",gpt_generated,10,Abs,"[""Rectus abdominis""]",[],"[""Swiss ball"", ""Bodyweight""]",,,1,10.0,pending,2026-03-29 04:49:35,2026-03-30 01:12:46
167,b186f1f8-4957-44dc-bf30-d0b00064ce6f,Crunches,"Lay down on your back a soft surface, the feet are on the floor. Ask a partner or use some other help (barbell, etc.) to keep them fixed, your hands are behind your head. From this position move your upper body up till your head or elbows touch your knees. Do this movement by rolling up your back.",wger,10,Abs,"[""Rectus abdominis""]",[],"[""Bodyweight""]",https://wger.de/media/exercise-images/91/Crunches-2.png,https://wger.de/media/exercise-images/91/Crunches-2.png,0,10.0,pending,2026-03-29 04:49:35,2026-03-29 05:39:43
171,7de7b8a8-313d-465f-bb22-8527ae45110a,Incline Crunches,"Lay down on your back on a inclined bench, feet are on one end of the bench. Ask a partner or use some other help (barbell, etc.) to keep them fixed, your hands are behind your head. From this position move your upper body up till your head or elbows touch your knees. Do this movement by rolling up your back.",wger,10,Abs,"[""Rectus abdominis""]",[],"[""Bench"", ""Bodyweight""]",https://wger.de/media/exercise-images/56/Decline-crunch-2.png,https://wger.de/media/exercise-images/56/Decline-crunch-2.png,0,10.0,pending,2026-03-29 04:49:35,2026-03-29 05:39:43
172,401989e0-64c3-459d-bc47-2c171ab4f41d,Crunches on Machine,"The procedure is very similar as for regular crunches, only with the additional weight of the machine. Sit on the machine, put both feet firmly on the ground. Grab the to the weights, cables, etc. and do a rolling motion forwards (the spine should ideally lose touch vertebra by vertebra). Slowly return to the starting position.",wger,10,Abs,"[""Rectus abdominis""]",[],"[""Machine""]",,,1,10.0,pending,2026-03-29 04:49:35,2026-03-29 04:49:35
173,29175281-afaf-4ffd-85e8-cfc38493e304,Crunches With Cable,"Take the cable on your hands and hold it next to your temples. Knee down and hold your upper body straight and bend forward. Go down with a fast movement, rolling your back in (your ellbows point to your knees). Once down, go slowly back to the initial position.",wger,10,Abs,"[""Rectus abdominis""]",[],"[""Cable""]",,,1,10.0,pending,2026-03-29 04:49:40,2026-03-29 04:49:40
174,b7ff64bc-7a7c-4dbc-af6f-fabc20425f5f,Crunches With Legs Up,"On your back, legs extended straight up, reach toward your toes with your hands and lift your shoulder blades off the ground and back.",wger,10,Abs,"[""Rectus abdominis""]",[],"[""Bodyweight""]",,,1,10.0,pending,2026-03-29 04:49:35,2026-03-29 04:49:35
177,8dedde58-a5dc-4a23-ad20-fd7cf524f8b5,Cycling,"Cycling, also called bicycling or biking, is the use of bicycles for transport, recreation, exercise or sport. People engaged in cycling are referred to as cyclists, bicyclists, or bikers. Apart from two-wheeled bicycles, cycling also includes the riding of unicycles, tricycles, quadracycles, recumbent and similar human-powered vehicles.",wger,15,Cardio,"[""Quadriceps femoris"", ""Gluteus maximus""]","[""Gastrocnemius"", ""Hamstrings""]","[""Other""]",,,1,,pending,2026-03-29 04:49:35,2026-03-29 04:49:35
178,d4db2355-4c99-4d80-a179-6aeced7c7fed,Deadbug,"Starting Position: Lie on your back with your hips and knees bent at 90-degree angles. Extend your arms toward the ceiling. Press your lower back into the floor.
Execution: Slowly lower your right arm and left leg toward the floor, keeping them close to the ground. Return to the start and repeat with the opposite side.
Tips: Keep your core engaged and lower back pressed to the floor throughout the movement. Move slowly and with control.",gpt_generated,10,Abs,"[""Rectus abdominis""]",[],"[""Bodyweight""]",,,1,,pending,2026-03-29 04:49:35,2026-03-30 01:12:46
182,74d4697d-8a97-4ea2-9d05-fa4d2bd7221e,Deadhang,Deadhang performed on an edge either with or without added weight (adujst edge or weight to adjust difficulty),wger,8,Arms,"[""Biceps brachii""]",[],"[""Pull-up bar"", ""Bodyweight""]",,,1,,pending,2026-03-29 04:49:35,2026-03-29 04:49:35
