name,cuisine_type,calories,protein,carbs,fat,diet_tags,description,embed_status,image_url
Turkey Club Sandwich,american,524,46.92,39.94,19.6,"[""paleo""]","Sandwich gà tây nhiều tầng tươi ngon, kết hợp cùng rau củ thanh mát và bổ dưỡng.",pending,https://your-domain.com/images/default-meal.png
Easy Paleo Meatloaf,american,3281,185.99,47.82,260.64,"[""paleo""]","Thịt cuộn nướng kiểu Mỹ mềm mọng, thấm đẫm gia vị đậm đà và giàu đạm.",pending,https://your-domain.com/images/default-meal.png
Paleo Crepes,french,569,15.73,15.91,49.16,"[""paleo""]","Bánh crepe mỏng tang, mềm mịn, hoàn hảo cho bữa sáng nhẹ nhàng và tinh tế.",pending,https://your-domain.com/images/default-meal.png
Chocolate Pecan Pie,american,5113,54.7,503.39,320.12,"[""paleo""]","Bánh tart hạt óc chó socola giòn bùi, ngọt ngào và sang trọng cho bữa tiệc.",pending,https://your-domain.com/images/default-meal.png
Blueberry French Toast Casserole,french,2239,78.59,290.1,84.95,"[""paleo""]","Bánh mì nướng bỏ lò cùng việt quất tươi, thơm lừng hương bơ và quả mọng.",pending,https://your-domain.com/images/default-meal.png
Paleo Spanish Rice,mediterranean,711,28.67,64.13,37.71,"[""paleo""]","Cơm kiểu Tây Ban Nha nấu cùng cà chua và thảo mộc thơm nồng, đậm vị biển.",pending,https://your-domain.com/images/default-meal.png
Banana Cream Pie,american,3672,17.85,215.69,304.25,"[""paleo""]","Bánh kem chuối béo ngậy, lớp kem mịn màng quyện cùng chuối chín ngọt lịm.",pending,https://your-domain.com/images/default-meal.png
Paleo Honey Cake,eastern europe,3715,87.32,258.25,259.21,"[""paleo""]","Bánh mật ong kiểu Đông Âu ngọt thanh, cốt bánh mềm xốp và thơm dịu nhẹ.",pending,https://your-domain.com/images/default-meal.png
Paleo Creamy Alfredo,american,1018,16.48,32.46,91.36,"[""paleo""]","Mỳ sốt kem Alfredo béo ngậy nhưng vẫn nhẹ nhàng, thanh đạm và giàu dinh dưỡng.",pending,https://your-domain.com/images/default-meal.png
Paleo Tzimmes,kosher,1047,16.11,236.88,3.86,"[""paleo""]",Món hầm rau củ ngọt ngào với khoai lang và trái cây khô đậm đà bản sắc.,pending,https://your-domain.com/images/default-meal.png
Paleo Pumpkin Bars,american,1897,39.73,169.01,117.95,"[""paleo""]","Bánh bí ngô cắt miếng nhỏ gọn, thơm ngậy và giàu năng lượng sạch cho ngày dài.",pending,https://your-domain.com/images/default-meal.png
Paleo Fruitcake,american,3260,82.45,271.48,204.91,"[""paleo""]","Bánh hoa quả khô truyền thống, đậm đà hương vị trái cây tự nhiên và mật ong.",pending,https://your-domain.com/images/default-meal.png
Paleo Chocolate Frosting,american,1750,14.19,85.18,150.26,"[""paleo""]","Kem phủ socola mịn mượt, ngọt ngào, hoàn hảo để nâng tầm mọi loại bánh nướng.",pending,https://your-domain.com/images/default-meal.png
Paleo Peach Crisp,french,1546,39.58,126.88,97.83,"[""paleo""]","Đào nướng phủ vụn bánh giòn tan, thơm lừng hương trái cây chín mọng và quế.",pending,https://your-domain.com/images/default-meal.png
Paleo Carrot Soup,american,1702,27.17,116.73,125.14,"[""paleo""]","Súp cà rốt xay nhuyễn mịn màng, vị ngọt thanh tao và ấm áp cho ngày lạnh.",pending,https://your-domain.com/images/default-meal.png
Best Paleo Chili,american,3153,193.11,83.93,227.24,"[""paleo""]","Bò hầm đậu cay nồng, đậm đà gia vị kiểu Mỹ đặc trưng và giàu năng lượng.",pending,https://your-domain.com/images/default-meal.png
Perfect Paleo Pizza,italian,2919,123.47,75.65,235.87,"[""paleo""]","Pizza đế mỏng giòn rụm, phủ đầy topping tươi ngon và sốt cà chua đậm đà.",pending,https://your-domain.com/images/default-meal.png
Paleo Eggplant Lasagna,italian,5638,172.17,186.26,467.17,"[""paleo""]",Lasagna cà tím bỏ lò với sốt cà chua và thảo mộc thơm lừng chuẩn vị Ý.,pending,https://your-domain.com/images/default-meal.png
Paleo Pecan Tart Crust,american,1188,20.15,24.96,111.99,"[""paleo""]","Đế bánh tart hạt óc chó giòn tan, thơm bùi hương vị tự nhiên và béo ngậy.",pending,https://your-domain.com/images/default-meal.png
Paleo Flourless Chocolate Cake,american,4791,83.82,384.27,324.34,"[""paleo""]","Bánh socola không bột đậm đặc, mềm mịn tan ngay trên đầu lưỡi đầy quyến rũ.",pending,https://your-domain.com/images/default-meal.png
Mini Paleo Egg Bites,american,1054,118.36,6.54,61.57,"[""paleo""]","Trứng nướng nhỏ xinh, mềm xốp, tiện lợi cho bữa sáng nhanh gọn và giàu đạm.",pending,https://your-domain.com/images/default-meal.png
Egg-Free Paleo Macaroons,french,1431,9.91,99.09,110.51,"[""paleo""]","Bánh dừa nướng giòn tan bên ngoài, dẻo ngọt bên trong, hoàn toàn không dùng trứng.",pending,https://your-domain.com/images/default-meal.png
Paleo Raw Chocolate Bites,american,2558,46.07,261.6,147.5,"[""paleo""]","Viên socola thô nguyên chất, ngọt thanh và giàu năng lượng sạch từ hạt tự nhiên.",pending,https://your-domain.com/images/default-meal.png
Paleo Avocado Tuna Salad,mexican,506,32.45,24.27,31.05,"[""paleo""]","Salad cá ngừ bơ sáp tươi mát, béo ngậy và đầy dưỡng chất cho bữa trưa.",pending,https://your-domain.com/images/default-meal.png
Perfect Paleo Baked Salmon,nordic,2100,161.95,1.17,160.83,"[""paleo""]","Cá hồi nướng mọng nước, giữ trọn vị ngọt thanh khiết tự nhiên từ biển Bắc Âu.",pending,https://your-domain.com/images/default-meal.png
Paleo Prosciutto Egg Cups,italian,1375,80.95,6.34,113.98,"[""paleo""]","Trứng nướng bọc thịt xông khói giòn rụm, đậm đà hương vị Ý đầy lôi cuốn.",pending,https://your-domain.com/images/default-meal.png
Cranberry Apple Stuffing,american,2179,47.89,285.93,93.75,"[""paleo""]","Nhân nhồi táo và nam việt quất chua ngọt, thơm nồng thảo mộc cho gà nướng.",pending,https://your-domain.com/images/default-meal.png
Slow-Cooker Paleo Meatballs,eastern europe,2290,145.6,102.25,144.33,"[""paleo""]","Thịt viên hầm chậm mềm mọng, thấm đẫm sốt cà chua đậm đà và thảo mộc.",pending,https://your-domain.com/images/default-meal.png
Paleo Pork Chili Verde,american,961,107.7,68.02,28.69,"[""paleo""]","Heo hầm sốt ớt xanh cay nồng, thơm mùi ngò rí tươi mát và đậm vị.",pending,https://your-domain.com/images/default-meal.png
Paleo Steak and Egg Salad,american,959,65.19,17.09,69.97,"[""paleo""]","Salad bò bít tết và trứng bổ dưỡng, đậm đà gia vị và giàu năng lượng.",pending,https://your-domain.com/images/default-meal.png
Easy Paleo Beef with Broccoli,mediterranean,1453,102.5,38.41,98.85,"[""paleo""]","Bò xào bông cải xanh giòn ngọt, thấm vị nước tương thanh nhẹ và tỏi thơm.",pending,https://your-domain.com/images/default-meal.png
Paleo Party Pork Carnitas,mexican,4600,268.92,128.88,334.28,"[""paleo""]","Thịt heo xé kiểu Mexico giòn rụm bên ngoài, mềm ngọt bên trong đầy lôi cuốn.",pending,https://your-domain.com/images/default-meal.png
Cindy's Paleo Harvest Chili,american,3853,210.45,139.56,272.52,"[""paleo""]","Món hầm thập cẩm đậm đà, ấm áp với hương vị mùa thu từ rau củ tươi.",pending,https://your-domain.com/images/default-meal.png
Instant Pot Paleo Pork Tenderloin,french,2095,362.76,16.83,64.04,"[""paleo""]","Thăn lợn nấu nhanh mềm mọng, thấm gia vị kiểu Pháp tinh tế và sang trọng.",pending,https://your-domain.com/images/default-meal.png
Entertain Meatloaf Style,american,2063,197.94,70.1,110.07,"[""paleo""]","Thịt cuộn nướng trình bày bắt mắt, hương vị đậm đà hoàn hảo cho bữa tiệc tối.",pending,https://your-domain.com/images/default-meal.png
Semi-Homemade Paleo Spaghetti And Meatballs,italian,3482,128.54,366.81,166.72,"[""paleo""]","Mỳ Ý thịt viên truyền thống, sốt cà chua đậm đà và thịt viên mềm mọng.",pending,https://your-domain.com/images/default-meal.png
Paleo and Vegan Pesto stuffed mushrooms,american,549,10.73,15.5,49.29,"[""paleo""]","Nấm nhồi sốt Pesto nướng thơm lừng, thanh đạm và bùng nổ hương vị thảo mộc.",pending,https://your-domain.com/images/default-meal.png
Paleo Un-Stuffed Cabbage Soup,italian,2577,141.27,55.82,198.73,"[""paleo""]","Súp bắp cải nấu cùng thịt băm, vị ngọt thanh, ấm bụng và giàu chất xơ.",pending,https://your-domain.com/images/default-meal.png
Paleo Cauliflower Bacon Fried Rice Recipe,chinese,748,28.76,50.01,48.09,"[""paleo""]","Cơm súp lơ xào thịt xông khói giòn tan, thơm nồng mùi khói và tỏi phi.",pending,https://your-domain.com/images/default-meal.png
Paleo Beef and Sweet Potato Stew,american,2342,200.82,153.82,102.62,"[""paleo""]","Bò hầm khoai lang mềm nhừ, nước dùng sánh quyện đậm đà và giàu dinh dưỡng.",pending,https://your-domain.com/images/default-meal.png
Paleo Pasta Salad with Avocado Oil Vinaigrette,french,1475,31.23,74.97,116.67,"[""paleo""]","Salad mỳ tươi mát với sốt dầu bơ thanh nhẹ, tinh tế theo phong cách Pháp.",pending,https://your-domain.com/images/default-meal.png
"Eggplant ""Ricotta"" Stacks From 'Nom Nom Paleo'",italian,2506,32.32,157.39,194.11,"[""paleo""]","Cà tím xếp tầng với kem hạt béo ngậy, đậm chất Ý và thanh đạm.",pending,https://your-domain.com/images/default-meal.png
Southwest Cowboy Chili From 'Nom Nom Paleo',american,3878,430.2,138.37,178.17,"[""paleo""]","Bò hầm kiểu cao bồi cay nồng, đậm đà hương vị miền Tây đầy hoang dã.",pending,https://your-domain.com/images/default-meal.png
Paleo Doritos Toast Will Scratch Your Snack Itch,american,244,32.75,22.67,2.45,"[""paleo""]","Bánh mì nướng vị Doritos giòn rụm, kích thích vị giác tuyệt vời cho bữa nhẹ.",pending,https://your-domain.com/images/default-meal.png
Paleo Spaghetti Squash and Amped Up Meatballs,italian,2262,128.33,154.22,125.77,"[""paleo""]","Bí ngòi sợi mỳ ăn kèm thịt viên đậm đà, món ăn thanh nhẹ và bổ dưỡng.",pending,https://your-domain.com/images/default-meal.png
Paleo-Friendly Roasted Butternut Squash with Crispy Sage Leaves,nordic,676,6.45,66.8,42.58,"[""paleo""]","Bí đỏ nướng lá xô thơm giòn tan, vị ngọt bùi tự nhiên đầy lôi cuốn.",pending,https://your-domain.com/images/default-meal.png
Dill Butternut Squash Fries,american,517,7.68,89.2,14.38,"[""paleo""]","Bí đỏ chiên giòn hương thì la, món ăn vặt lạ miệng và giàu vitamin.",pending,https://your-domain.com/images/default-meal.png
Crispy Sweet Potato Fries,south american,502,4.4,56.19,28.84,"[""paleo""]","Khoai lang tím chiên giòn rụm, vị ngọt tự nhiên và màu sắc đầy hấp dẫn.",pending,https://your-domain.com/images/default-meal.png
Rosemary and Garlic Parsnip Mash,american,330,3.34,48.53,13.6,"[""paleo""]","Củ cải trắng nghiền tỏi và hương thảo, mềm mịn, thơm nồng và thanh tao.",pending,https://your-domain.com/images/default-meal.png
Four Layer Beef and Bacon Casserole,american,4140,213.63,149.66,298.56,"[""paleo""]","Bò bỏ lò bốn lớp với thịt xông khói béo ngậy, đậm đà và giàu đạm.",pending,https://your-domain.com/images/default-meal.png
Boston Baked Beef,american,3416,135.99,193.85,232.95,"[""paleo""]","Bò nướng kiểu Boston mềm mọng, thấm đẫm sốt đặc trưng vùng biển đầy lôi cuốn.",pending,https://your-domain.com/images/default-meal.png
Nutella Brownie Truffles,french,1545,12.21,151.95,98.75,"[""paleo""]","Viên truffles brownie socola hạt dẻ ngọt ngào, tan chảy mịn màng trong miệng.",pending,https://your-domain.com/images/default-meal.png
Best Ever Bars,american,3431,62.76,194.9,266.67,"[""paleo""]","Thanh năng lượng ngũ cốc giòn bùi, ngọt thanh và đầy dưỡng chất cho ngày mới.",pending,https://your-domain.com/images/default-meal.png
Salmon Cakes,nordic,988,86.31,11.17,66.45,"[""paleo""]","Chả cá hồi chiên vàng, thơm mùi thảo mộc và tươi ngon vị biển cả.",pending,https://your-domain.com/images/default-meal.png
Crockpot Italian Chicken and Peppers,italian,1071,86.07,84.94,43.04,"[""paleo""]","Gà hầm ớt chuông kiểu Ý, thịt mềm thấm vị ngọt tự nhiên từ rau củ.",pending,https://your-domain.com/images/default-meal.png
Herbed Rack of Lamb,middle eastern,1373,35.36,6.76,133.82,"[""paleo""]","Sườn cừu nướng thảo mộc thơm nồng, thịt mềm mọng đẳng cấp và sang trọng.",pending,https://your-domain.com/images/default-meal.png
Moroccan Braised Chicken and Kale,middle eastern,4251,283.65,89.99,306.29,"[""paleo""]","Gà hầm cải xoăn kiểu Ma-rốc, đậm đà hương vị Trung Đông đầy huyền bí.",pending,https://your-domain.com/images/default-meal.png
Roasted Tomato Soup,italian,971,39.32,88.7,50.97,"[""paleo""]","Súp cà chua nướng xay nhuyễn, vị chua thanh và thơm nồng thảo mộc Ý.",pending,https://your-domain.com/images/default-meal.png
Sweet Plantain Guacamole,south american,1861,19.18,134.0,138.71,"[""paleo""]","Sốt bơ béo ngậy kết hợp chuối nướng ngọt thanh, hương vị độc đáo khó quên.",pending,https://your-domain.com/images/default-meal.png
Turkey Spaghetti Zoodles,american,1338,122.69,96.81,51.15,"[""paleo""]","Mỳ bí ngòi sốt gà tây băm, món ăn thanh nhẹ, bổ dưỡng và ít calo.",pending,https://your-domain.com/images/default-meal.png
Celery Leaf & Fennel Poached Salmon,nordic,419,32.41,17.25,24.49,"[""paleo""]","Cá hồi chần lá cần tây và thì là, giữ trọn vị thanh khiết và mọng nước.",pending,https://your-domain.com/images/default-meal.png
Turkey Veggie Meatballs With Spaghetti Squash,american,1549,122.78,147.94,51.84,"[""paleo""]",Thịt viên gà tây rau củ ăn kèm bí sợi mỳ thanh đạm và giàu đạm.,pending,https://your-domain.com/images/default-meal.png
Asian Sesame Chicken & Broccoli,chinese,1191,107.67,31.95,70.25,"[""paleo""]","Gà xào bông cải xanh hương mè, đậm đà vị Á đông và giòn ngọt.",pending,https://your-domain.com/images/default-meal.png
Cauliflower Fried Rice,chinese,999,46.62,82.76,53.47,"[""paleo""]","Cơm súp lơ xào thập cẩm giòn ngọt, thay thế tinh bột hoàn hảo và nhẹ bụng.",pending,https://your-domain.com/images/default-meal.png
Khoresht Lubia Sabz (Persian Green Bean Stew),american,1209,121.29,69.51,49.55,"[""paleo""]","Đậu que hầm kiểu Ba Tư, vị thanh mát, thơm thảo mộc và rất lạ miệng.",pending,https://your-domain.com/images/default-meal.png
Cinnamon Chocolate Swirl Banana Bread,american,2990,68.73,266.84,183.04,"[""paleo""]","Bánh chuối socola quế thơm nồng, cốt bánh ẩm mượt và ngọt ngào hấp dẫn.",pending,https://your-domain.com/images/default-meal.png
Easy Pan Gravy,british,132,0.32,6.54,11.65,"[""paleo""]","Sốt thịt đậm đà, mịn màng, hoàn hảo cho các món nướng kiểu Anh truyền thống.",pending,https://your-domain.com/images/default-meal.png
Salsa Fresca estilo Siete,mexican,164,4.94,33.55,1.11,"[""paleo""]","Sốt salsa tươi mát với cà chua và hành tây, đậm chất Mexico đầy sảng khoái.",pending,https://your-domain.com/images/default-meal.png
Ginger Snap Pumpkin Butter Cookie Sandwiches,american,4560,97.78,239.78,356.65,"[""paleo""]","Bánh kẹp gừng nhân bơ bí ngô, giòn tan và ấm áp hương vị mùa thu.",pending,https://your-domain.com/images/default-meal.png
Cauliflower Soup Drizzled with White Truffle Oil,french,765,41.9,64.07,37.95,"[""paleo""]","Súp súp lơ trắng dầu nấm Truffle sang trọng, mịn màng và thơm nồng nàn.",pending,https://your-domain.com/images/default-meal.png
Apple Pumpkin Soup,american,474,9.95,64.53,19.56,"[""paleo""]","Súp bí ngô táo ngọt thanh, màu vàng óng ả và thơm dịu hương trái cây.",pending,https://your-domain.com/images/default-meal.png
Easy Vegan Pad Thai Supreme,american,2778,97.94,217.78,168.32,"[""paleo""]","Pad Thai thuần chay đậm đà, sợi mỳ dai ngon quyện sốt lạc béo ngậy.",pending,https://your-domain.com/images/default-meal.png
Beef Chorizo con Huevo estilo Siete,mediterranean,1423,133.92,12.88,92.88,"[""paleo""]","Bò Chorizo xào trứng đậm đà, bữa sáng giàu năng lượng và đậm vị Địa Trung Hải.",pending,https://your-domain.com/images/default-meal.png
Angel Food Cake,american,1401,55.09,283.94,5.02,"[""paleo""]","Bánh bông lan trắng muốt, nhẹ tênh và mềm mịn như mây tan trong miệng.",pending,https://your-domain.com/images/default-meal.png
Asian Chicken Salad,asian,1613,69.61,44.66,128.44,"[""paleo""]","Salad gà kiểu Á tươi giòn, rưới sốt mè gừng thơm nồng và đầy sức sống.",pending,https://your-domain.com/images/default-meal.png
Roasted Beef Tenderloin,american,2615,349.89,10.57,130.34,"[""paleo""]","Thăn bò nướng nguyên khối mềm mọng, giữ trọn nước thịt ngọt đậm và thơm.",pending,https://your-domain.com/images/default-meal.png
"Kale, Artichoke and Pecorino Salad",mediterranean,838,36.98,40.42,58.68,"[""paleo""]","Salad cải xoăn và atisô tươi mát, phủ phô mai Pecorino béo bùi đặc trưng.",pending,https://your-domain.com/images/default-meal.png
Spicy Thai Peanut Kelp Noodle Pad Thai,south east asian,2420,92.67,357.52,68.86,"[""paleo""]","Pad Thai mỳ rong biển sốt lạc cay, giòn sần sật và lạ miệng độc đáo.",pending,https://your-domain.com/images/default-meal.png
Almond Meal Encrusted Chicken Nuggets - REAL FOOD Healing Recipe from Mee Tracy McCormick,american,2105,191.06,25.06,137.85,"[""paleo""]","Gà viên chiên xù bột hạnh nhân giòn tan, thơm bùi tự nhiên và giàu đạm.",pending,https://your-domain.com/images/default-meal.png
Artichoke Francaise,mediterranean,1217,35.81,127.03,62.87,"[""paleo""]","Atisô tẩm bột chiên kiểu Pháp, mềm trong giòn ngoài, vị thanh tao đầy tinh tế.",pending,https://your-domain.com/images/default-meal.png
Braised Short Rib Bolognese,italian,6674,242.69,59.62,607.18,"[""paleo""]","Sốt Bolognese sườn bò hầm nhừ, đậm đà và giàu hương vị Ý truyền thống.",pending,https://your-domain.com/images/default-meal.png
Maialino's Olive Oil Cake (Adapted by Becca Fox),american,6422,72.45,479.49,468.3,"[""paleo""]","Bánh dầu ô liu mềm ẩm, thơm dịu hương cam chanh thanh khiết và nhẹ nhàng.",pending,https://your-domain.com/images/default-meal.png
Homemade Ravioli with Ricotta Cheese and Spinach Filling,italian,2642,118.65,300.0,107.45,"[""paleo""]","Ravioli nhân phô mai Ricotta và cải bó xôi, mềm mịn và đậm đà vị Ý.",pending,https://your-domain.com/images/default-meal.png
Boneless Short Ribs on the BGE,french,5877,392.64,12.51,472.92,"[""paleo""]","Sườn bò nướng không xương mềm mọng, thơm nồng mùi khói đặc trưng đầy lôi cuốn.",pending,https://your-domain.com/images/default-meal.png
Ribollita,italian,1993,66.67,180.22,111.67,"[""paleo""]","Súp rau củ kiểu Ý hầm kỹ, ấm áp, giàu dinh dưỡng và đậm đà hương vị.",pending,https://your-domain.com/images/default-meal.png
Pear and Apple Coffeecake with Walnut Topping,british,4975,68.86,309.13,384.74,"[""paleo""]","Bánh cà phê táo lê phủ hạt óc chó giòn bùi, thơm ngậy và ngọt thanh.",pending,https://your-domain.com/images/default-meal.png
Artichoke and Perfect Asparagus Salad with Lemony Herbed Vinaigrette,mediterranean,1300,22.61,68.6,103.89,"[""paleo""]","Salad atisô và măng tây tươi giòn, rưới sốt chanh thảo mộc thanh mát.",pending,https://your-domain.com/images/default-meal.png
Indian Spiced Broccoli and Potato Hash,nordic,321,9.39,47.36,10.47,"[""paleo""]","Khoai tây và bông cải xào gia vị Ấn, thơm nồng lôi cuốn và giòn ngọt.",pending,https://your-domain.com/images/default-meal.png
Vegan Dark Chocolate Coconut Tart,american,1945,32.24,221.1,103.54,"[""paleo""]","Tart socola đen cốt dừa thuần chay, đắng nhẹ, béo ngậy và tan chảy mịn màng.",pending,https://your-domain.com/images/default-meal.png
Pork and Charred Brussels Sprouts with Chile Lime Sauce,south american,2345,145.56,240.17,89.14,"[""paleo""]","Thịt heo xào bắp cải tí hon sốt chanh ớt, đậm đà và lạ miệng.",pending,https://your-domain.com/images/default-meal.png
Apple Fennel Casserole with a Coconut-Turmeric Twist,italian,373,5.6,46.5,18.34,"[""paleo""]","Táo và thì là bỏ lò hương nghệ cốt dừa, vị lạ miệng và thơm nồng.",pending,https://your-domain.com/images/default-meal.png
Slow-Cooker 'Osso Buco' Stew,italian,1777,211.11,94.79,61.46,"[""paleo""]","Bắp bò hầm chậm kiểu Ý, thịt mềm tan trong nước sốt đậm đà tinh tế.",pending,https://your-domain.com/images/default-meal.png
Vegan Coconut Cream Tart with White Peaches and Blueberries,american,2287,39.45,285.88,109.49,"[""paleo""]","Tart kem dừa đào trắng việt quất, tươi mát, ngọt thanh và đầy màu sắc.",pending,https://your-domain.com/images/default-meal.png
Spiced Harvest Cake,british,3511,65.92,455.58,158.29,"[""paleo""]","Bánh gia vị mùa thu thơm nồng hương quế, cốt bánh ẩm mượt và ngọt dịu.",pending,https://your-domain.com/images/default-meal.png
Low Carb Paleo Egg Wrap Recipe,american,323,16.71,28.5,15.85,"[""paleo""]","Trứng cuộn ít tinh bột, mềm mịn, hoàn hảo cho bữa sáng khỏe mạnh và nhanh.",pending,https://your-domain.com/images/default-meal.png
Paleo Nutella Banana Ice Cream,american,1047,7.86,186.18,30.1,"[""paleo""]","Kem chuối vị hạt dẻ socola mát lạnh, ngọt thanh tự nhiên và béo ngậy.",pending,https://your-domain.com/images/default-meal.png
The Elvis Paleo Sandwich Recipe,american,834,18.72,68.14,54.08,"[""paleo""]","Sandwich kiểu Elvis với bơ hạt và chuối, béo ngậy và đầy năng lượng sạch.",pending,https://your-domain.com/images/default-meal.png
Paleo Nacho Casserole,mexican,2488,156.83,88.03,167.6,"[""paleo""]","Nacho bỏ lò kiểu Mexico, giòn rụm và đậm đà gia vị cay nồng hấp dẫn.",pending,https://your-domain.com/images/default-meal.png
Simple Paleo Coleslaw Dressing,mediterranean,903,6.76,17.01,89.82,"[""paleo""]","Sốt salad bắp cải thanh nhẹ, chua ngọt hài hòa và tươi mát tự nhiên.",pending,https://your-domain.com/images/default-meal.png
Paleo deviled egg recipe,french,766,32.74,3.08,69.22,"[""paleo""]","Trứng nhồi kem béo ngậy, món khai vị tinh tế và sang trọng kiểu Pháp.",pending,https://your-domain.com/images/default-meal.png
Paleo Peppermint Bark,american,3007,30.23,191.35,235.63,"[""paleo""]","Socola bạc hà giòn tan, mát lạnh và ngọt ngào đầy sảng khoái cho lễ hội.",pending,https://your-domain.com/images/default-meal.png
Paleo Chipotle Dipping Sauce,mexican,1118,2.14,15.79,116.27,"[""paleo""]","Sốt chấm Chipotle cay nồng, thơm mùi khói, kích thích mọi giác quan khi thưởng thức.",pending,https://your-domain.com/images/default-meal.png
Paleo Wrap Carne Asada Recipe,mexican,1503,159.24,75.82,62.53,"[""paleo""]","Bánh cuộn bò nướng kiểu Mexico, thịt mềm mọng và đậm đà gia vị đặc trưng.",pending,https://your-domain.com/images/default-meal.png
Homemade Paleo Protein Bars,american,5372,368.04,500.49,210.84,"[""paleo""]","Thanh protein tự làm giòn bùi, giàu năng lượng và dưỡng chất sạch từ hạt.",pending,https://your-domain.com/images/default-meal.png
Paleo Tzatziki,mediterranean,205,2.82,17.07,13.93,"[""paleo""]",Sốt sữa chua Hy Lạp tươi mát với dưa chuột và thảo mộc thanh khiết.,pending,https://your-domain.com/images/default-meal.png
Paleo Meatball Sub,american,1178,57.04,62.66,77.65,"[""paleo""]","Bánh mì kẹp thịt viên đậm đà, phủ sốt cà chua thơm lừng và giàu đạm.",pending,https://your-domain.com/images/default-meal.png
Paleo Pad Thai with Zucchini Noodles,south east asian,180,3.5,40.81,0.36,"[""paleo""]","Pad Thai mỳ bí ngòi thanh nhẹ, thấm đẫm sốt lạc chua cay mặn ngọt.",pending,https://your-domain.com/images/default-meal.png
Paleo Quiche Cups,french,1154,59.38,43.71,82.41,"[""paleo""]","Bánh quiche trứng nhỏ xinh, mềm xốp và thơm nồng hương vị Pháp tinh tế.",pending,https://your-domain.com/images/default-meal.png
Paleo Pecan Pie,american,4727,41.28,497.12,285.89,"[""paleo""]","Bánh tart hạt óc chó ngọt ngào, giòn bùi và đậm đà hương vị truyền thống.",pending,https://your-domain.com/images/default-meal.png
Paleo Lemon Mousse,french,1140,17.82,77.84,84.12,"[""paleo""]","Mousse chanh vàng mịn màng, chua thanh và tan ngay trong miệng đầy sảng khoái.",pending,https://your-domain.com/images/default-meal.png
Paleo Aioli Salad Dressing,mediterranean,413,0.53,2.32,44.57,"[""paleo""]","Sốt Aioli tỏi béo ngậy, thơm nồng, nâng tầm hương vị cho mọi món salad.",pending,https://your-domain.com/images/default-meal.png
Paleo Blackberry Instant Pot Cobbler,french,2314,33.01,287.56,114.66,"[""paleo""]","Bánh cobbler dâu tằm nấu nhanh, ngọt lịm và thơm lừng hương bơ hạnh nhân.",pending,https://your-domain.com/images/default-meal.png
Paleo Banana Bread French Toast,french,1280,21.23,203.11,42.55,"[""paleo""]","Bánh mì chuối nướng kiểu Pháp, thơm nồng hương quế và béo ngậy đầy lôi cuốn.",pending,https://your-domain.com/images/default-meal.png
